address,price,beds,baths,sqft
"1806-20 Minowan Miikan Lane, Toronto, ON",628000,1 bed,1 bath,600-699 sqft
"20-3 Reidmount Avenue, Toronto, ON",838880,3+1 bed,4 bath,1800-1999 sqft
"6102-10 York Street, Toronto, ON",719900,1+1 bed,2 bath,700-799 sqft
"TH39-9 Oakburn Crescent, Toronto, ON",1249000,2+2 bed,3 bath,1600-1799 sqft
"2-8 Marquette Avenue, Toronto, ON",789000,2 bed,2 bath,800-899 sqft
"203 Churchill Avenue, Toronto, ON",1628000,3 bed,1 bath,1100-1500 sqft
"1507-188 Fairview Mall Drive E, Toronto, ON",669000,2 bed,1 bath,800-899 sqft
"801-2550 Pharmacy Avenue, Toronto, ON",439000,2 bed,1 bath,1000-1199 sqft
"3804-10 Park Lawn Road, Toronto, ON",699900,2 bed,2 bath,700-799 sqft
"1113-89 Skymark Drive, Toronto, ON",1290000,3+1 bed,3 bath,2000-2249 sqft
"3215-138 Downes Street, Toronto, ON",488000,1 bed,1 bath,500-599 sqft
"105 Hogarth Avenue, Toronto, ON",1500000,3 bed,2 bath,1100-1500 sqft
"5206-70 Temperance Street, Toronto, ON",798000,2 bed,2 bath,700-799 sqft
"713-2212 Lakeshore Boulevard W, Toronto, ON",499000,1+1 bed,1 bath,500-599 sqft
"1906-8 Olympic Gdn S Drive, Toronto, ON",749900,2+1 bed,2 bath,600-699 sqft
"357 Rustic Road, Toronto, ON",1177000,3+2 bed,2 bath,700-1100 sqft
"643 Shaw Street, Toronto, ON",2189000,3+1 bed,3 bath,1500-2000 sqft
"306-183 Dovercourt Road, Toronto, ON",1550000,2+1 bed,2 bath,1400-1599 sqft
"2801-181 Dundas Street E, Toronto, ON",499900,1+1 bed,1 bath,500-599 sqft
"5202-30 Shore Breeze Drive, Toronto, ON",769000,2 bed,1 bath,600-699 sqft
"1817-35 Bastion Street, Toronto, ON",499900,1 bed,1 bath,500-599 sqft
"119A-700 Humberwood Boulevard, Toronto, ON",399999,1 bed,1 bath,600-699 sqft
"506 Pape Avenue, Toronto, ON",1499000,4+1 bed,3 bath,1500-2000 sqft
"3 Ridgemount Road, Toronto, ON",1700000,3+2 bed,4 bath,1100-1500 sqft
"139 Eastbourne Avenue, Toronto, ON",2895000,4+2 bed,4 bath,2500-3000 sqft
"1210-88 Park Lawn Road, Toronto, ON",659000,2 bed,2 bath,700-799 sqft
"2212 Lakehsore Boulevard W, Toronto, ON",46000,– bed,– bath,
"1505-203 College Street, Toronto, ON",808000,1+1 bed,2 bath,500-599 sqft
"16-1393 Royal York Road, Toronto, ON",950000,3 bed,3 bath,1200-1399 sqft
"819C Oxford Street, Toronto, ON",1189888,3+1 bed,3 bath,2000-2500 sqft
"415 Symington Avenue, Toronto, ON",990000,4+3 bed,2 bath,1500-2000 sqft
"175 Floyd Avenue, Toronto, ON",2599000,4+1 bed,5 bath,2500-3000 sqft
"1155-313 Richmond Street E, Toronto, ON",529900,1+1 bed,1 bath,600-699 sqft
"2 Ivor Road, Toronto, ON",3588000,4+1 bed,5 bath,3000-3500 sqft
"236 Cedric Avenue, Toronto, ON",,— bed,— bath,— sqft
"62 Dallimore Circle, Toronto, ON",1148000,3 bed,4 bath,1500-2000 sqft
"193 Christie Street, Toronto, ON",,— bed,— bath,— sqft
"574 Davenport Road, Toronto, ON",,— bed,— bath,— sqft
"574 Davenport Road, Toronto, ON",,— bed,— bath,— sqft
"1710E-1926 Lake Shore Boulevard, Toronto, ON",1175000,3 bed,2 bath,900-999 sqft
"201E-500 Queens Quay N/a W, Toronto, ON",1380000,2 bed,2 bath,1200-1399 sqft
"236 Cedric Avenue, Toronto, ON",,— bed,— bath,— sqft
"36 Wyatt Avenue, Toronto, ON",1199000,3 bed,2 bath,1000-1199 sqft
"43 Manor Road E, Toronto, ON",2095000,3+1 bed,2 bath,1100-1500 sqft
"193 Christie Street, Toronto, ON",,— bed,— bath,— sqft
"20 Mayall Avenue, Toronto, ON",979000,4+1 bed,3 bath,1500-2000 sqft
"1B-8 Rosebank Drive, Toronto, ON",459000,1+1 bed,1 bath,600-699 sqft
"313-21 Hillcrest Avenue, Toronto, ON",485000,1 bed,1 bath,600-699 sqft
"3001-117 Mcmahon Drive, Toronto, ON",499000,– bed,1 bath,0-499 sqft
"3508-2200 Lake Shore Boulevard W, Toronto, ON",535800,1+1 bed,1 bath,0-499 sqft
"148 Cleanside Road, Toronto, ON",859000,4 bed,3 bath,1500-2000 sqft
"601-260 Merton Street, Toronto, ON",739000,2 bed,2 bath,800-899 sqft
"1606-430 Mclevin Avenue, Toronto, ON",449999,1 bed,1 bath,800-899 sqft
"101-1400 Kingston Road, Toronto, ON",548500,1 bed,1 bath,500-599 sqft
"45 Park Lane Circle, Toronto, ON",25000000,5+1 bed,9 bath,5000 + sqft
"1818-251 Jarvis Street, Toronto, ON",449000,1 bed,1 bath,0-499 sqft
"2003-25 Grenville Street S, Toronto, ON",649999,1+1 bed,1 bath,800-899 sqft
"683 Manning Avenue, Toronto, ON",1899000,4+1 bed,5 bath,1500-2000 sqft
"6805-1 Bloor Street E, Toronto, ON",,— bed,— bath,— sqft
"1308-8 Mercer Street, Toronto, ON",950000,3 bed,2 bath,900-999 sqft
"309-99 Hayden Street, Toronto, ON",724900,2 bed,2 bath,700-799 sqft
"713-7 Bishop Avenue, Toronto, ON",429000,1 bed,1 bath,0-499 sqft
"63-617 Rathburn Road, Toronto, ON",849000,3 bed,2 bath,1200-1399 sqft
"606-455 Wellington Street W, Toronto, ON",2099000,2+1 bed,3 bath,1600-1799 sqft
"754 Manning Avenue, Toronto, ON",1499000,3+1 bed,3 bath,1500-2000 sqft
"2508-319 Jarvis Street, Toronto, ON",759000,2 bed,2 bath,600-699 sqft
