address,price,beds,baths,sqft
"50 Bluewater Court, Toronto, ON",999000,2 bed,2 bath,1100-1500 sqft
"121 Virginia Avenue, Toronto, ON",1545000,3+1 bed,3 bath,1500-2000 sqft
"802-5949 Yonge Street, Toronto, ON",374900,2+1 bed,1 bath,900-999 sqft
"1106-1105 Leslie Street, Toronto, ON",688000,2 bed,2 bath,800-899 sqft
"4802-38 Widmer Street, Toronto, ON",925000,2 bed,2 bath,700-799 sqft
"157 Fred Young Drive, Toronto, ON",1499999,4+1 bed,5 bath,3500-5000 sqft
"24 Hiltz Avenue, Toronto, ON",1199000,3 bed,2 bath,700-1100 sqft
"80 Bideford Avenue, Toronto, ON",1745000,4+1 bed,7 bath,3500-5000 sqft
"548-26 Gibbs Road, Toronto, ON",678800,2+1 bed,2 bath,800-899 sqft
"1401-10 Eva Road, Toronto, ON",629000,2 bed,2 bath,700-799 sqft
"1102-2800 Warden Avenue, Toronto, ON",398000,2 bed,2 bath,1000-1199 sqft
"70 Bellefair Avenue, Toronto, ON",3299000,5+2 bed,6 bath,2500-3000 sqft
"304-65 Spring Garden Avenue, Toronto, ON",1010000,2+1 bed,2 bath,1600-1799 sqft
"309-4196 Dundas Street W, Toronto, ON",619900,2 bed,1 bath,800-899 sqft
"8 Margaret Rose Court, Toronto, ON",1149000,3+2 bed,4 bath,1500-2000 sqft
"115 Glenayr Road, Toronto, ON",4400000,5 bed,4 bath,2500-3000 sqft
"177 Brookside Drive, Toronto, ON",1349000,3 bed,2 bath,1100-1500 sqft
"7-61 Driftwood Avenue, Toronto, ON",559000,3 bed,2 bath,1200-1399 sqft
"48 Leopold Street, Toronto, ON",1799990,3 bed,3 bath,2000-2500 sqft
"725 Dovercourt Road, Toronto, ON",1799900,– bed,2 bath,
"1018-15 James Finlay Way, Toronto, ON",509000,1 bed,1 bath,500-599 sqft
"2208-88 Park Lawn Road, Toronto, ON",1139000,2+1 bed,2 bath,1000-1199 sqft
"104-1 Cardiff Road, Toronto, ON",775000,2 bed,3 bath,1000-1199 sqft
"PH4-65 Huntingdale Boulevard, Toronto, ON",599900,2 bed,2 bath,1400-1599 sqft
"725 Dovercourt Road, Toronto, ON",1799900,– bed,2 bath,
"1001-20 Collier Street, Toronto, ON",808000,2+1 bed,2 bath,900-999 sqft
"2806-125 Peter Street, Toronto, ON",639000,1+1 bed,1 bath,500-599 sqft
"PH09-28 Hollywood Avenue, Toronto, ON",669900,1+1 bed,1 bath,900-999 sqft
"1706-290 Adelaide Street W, Toronto, ON",560000,1 bed,1 bath,500-599 sqft
"83 Adanac Drive, Toronto, ON",1049900,3+1 bed,2 bath,700-1100 sqft
"907-120 Dallimore Circle, Toronto, ON",530000,1+1 bed,1 bath,600-699 sqft
"2009-8 Telegram Mews, Toronto, ON",699900,2 bed,2 bath,700-799 sqft
"708-1420 Dupont Street, Toronto, ON",489000,1+1 bed,2 bath,600-699 sqft
"623E-36 Lisgar Street, Toronto, ON",415900,2 bed,1 bath,600-699 sqft
"201-260 Sackville Street, Toronto, ON",678000,1+1 bed,2 bath,700-799 sqft
"119-24 Fundy Bay Boulevard, Toronto, ON",,— bed,— bath,— sqft
"2905-8 Widmer Street, Toronto, ON",668000,2 bed,2 bath,600-699 sqft
"77 Snowball Crescent, Toronto, ON",899999,3+2 bed,2 bath,1100-1500 sqft
"1003-72 Esther Shiner Boulevard, Toronto, ON",619800,1+1 bed,1 bath,600-699 sqft
"49 Trethewey Drive, Toronto, ON",999900,3+1 bed,3 bath,1100-1500 sqft
"1106-22 Wellesley Street E, Toronto, ON",699000,2 bed,2 bath,800-899 sqft
"406-2220 Lake Shore Boulevard W, Toronto, ON",599900,1+1 bed,1 bath,600-699 sqft
"811-138 Princess Street, Toronto, ON",715000,2 bed,1 bath,700-799 sqft
"306-11 St. Joseph Street, Toronto, ON",818000,2 bed,2 bath,800-899 sqft
"702-3151 Bridletowne Circle, Toronto, ON",509999,2 bed,2 bath,1400-1599 sqft
"2708-32 Davenport Road, Toronto, ON",969000,2 bed,2 bath,800-899 sqft
"1112-297 College Street, Toronto, ON",618500,1+1 bed,1 bath,500-599 sqft
"3305-501 Yonge Street, Toronto, ON",918000,2+1 bed,2 bath,800-899 sqft
"4 Tarbert Road, Toronto, ON",2190000,5+1 bed,5 bath,3500-5000 sqft
"301-59 Neptune Drive, Toronto, ON",388000,2 bed,1 bath,900-999 sqft
"1911-460 Adelaide Street E, Toronto, ON",619988,1+1 bed,1 bath,600-699 sqft
"1222-2031 Kennedy Road, Toronto, ON",638000,2 bed,2 bath,700-799 sqft
"1704-55 Bremner Boulevard, Toronto, ON",499900,1+1 bed,1 bath,600-699 sqft
"2960B Bayview Avenue, Toronto, ON",1680000,3 bed,5 bath,2500-3000 sqft
"40 Stanland Drive, Toronto, ON",899000,4 bed,4 bath,1500-2000 sqft
"1210-197 Yonge Street, Toronto, ON",547000,1+1 bed,1 bath,600-699 sqft
"16 Glencoyne Crescent, Toronto, ON",975000,3+1 bed,3 bath,1500-2000 sqft
"1005-225 Sackville Street, Toronto, ON",618000,1+1 bed,2 bath,600-699 sqft
"28 Braywin Drive, Toronto, ON",1898000,4 bed,3 bath,2000-2500 sqft
"305-5155 Sheppard Avenue E, Toronto, ON",559900,2 bed,2 bath,700-799 sqft
"303-25 Ritchie Avenue, Toronto, ON",739900,1 bed,1 bath,700-799 sqft
"820-80 Saint Patrick Street, Toronto, ON",499000,1 bed,1 bath,0-499 sqft
"620-629 King Street W, Toronto, ON",464900,1 bed,1 bath,0-499 sqft
"PH2-150 Neptune Drive, Toronto, ON",,— bed,— bath,— sqft
"178 Three Valleys Drive, Toronto, ON",1498800,3+1 bed,2 bath,1100-1500 sqft
"235-80 Marine Parade Drive, Toronto, ON",797000,2 bed,2 bath,800-899 sqft
"1202-832 Bay Street, Toronto, ON",699000,2 bed,2 bath,700-799 sqft
"71 Clouston Avenue, Toronto, ON",999900,3+2 bed,3 bath,1100-1500 sqft
"418-30 Roehampton Avenue, Toronto, ON",798000,2+1 bed,2 bath,900-999 sqft
"2039-125 Omni Drive, Toronto, ON",439999,1 bed,1 bath,600-699 sqft
"708-2855 Bloor Street W, Toronto, ON",1585000,2+1 bed,2 bath,1200-1399 sqft
"2103-71 Simcoe Street, Toronto, ON",1349000,3 bed,2 bath,1600-1799 sqft
"409-1093 Kingston Rd Avenue, Toronto, ON",859000,2 bed,2 bath,1000-1199 sqft
"304-90 Fisherville Road, Toronto, ON",799800,2+1 bed,2 bath,1400-1599 sqft
"1508-100 Western Battery Road, Toronto, ON",639999,1+1 bed,1 bath,600-699 sqft
"43 Bamboo Grove, Toronto, ON",,— bed,— bath,— sqft
"307-408 Browns Line, Toronto, ON",399999,1 bed,1 bath,500-599 sqft
"4707-70 Annie Craig Drive, Toronto, ON",729000,2 bed,2 bath,700-799 sqft
"201-80 Palace Pier Court, Toronto, ON",749000,2 bed,2 bath,1000-1199 sqft
"10 Juliana Court, Toronto, ON",1315000,3+1 bed,4 bath,700-1100 sqft
"615-59 Annie Craig Drive, Toronto, ON",720000,2 bed,2 bath,700-799 sqft
"301-1110 Briar Hill Avenue, Toronto, ON",835000,2 bed,2 bath,1000-1199 sqft
"17A-6 Rosebank Drive, Toronto, ON",649000,2+1 bed,2 bath,1000-1199 sqft
"4402-35 Balmuto Street, Toronto, ON",2150000,3+1 bed,3 bath,1600-1799 sqft
"209-15 Zorra Street, Toronto, ON",695000,2 bed,2 bath,700-799 sqft
"301-1130 Briar Hill Avenue, Toronto, ON",799000,2+1 bed,2 bath,1000-1199 sqft
"1202-608 Richmond Street W, Toronto, ON",839000,2 bed,2 bath,800-899 sqft
"S115-180 Mill Street, Toronto, ON",949000,2 bed,3 bath,1000-1199 sqft
"212-5 Hanna Avenue, Toronto, ON",375000,– bed,1 bath,0-499 sqft
"20 Payzac Avenue, Toronto, ON",1225000,3+2 bed,3 bath,1500-2000 sqft
"688 Bloor Street W, Toronto, ON",,— bed,— bath,— sqft
"340 Riverview Drive, Toronto, ON",11900000,6 bed,8 bath,5000 + sqft
"688 Bloor Street W, Toronto, ON",,— bed,— bath,— sqft
"728-1881 Mcnicoll Avenue, Toronto, ON",799900,3+1 bed,3 bath,1800-1999 sqft
"1105-17 Barberry Place, Toronto, ON",688000,1+1 bed,2 bath,600-699 sqft
"LP18-270 Dufferin Street, Toronto, ON",599900,1+1 bed,1 bath,600-699 sqft
"S1408-8 Olympic Gdn Drive, Toronto, ON",588000,1+1 bed,1 bath,600-699 sqft
"3607-395 Bloor Street, Toronto, ON",759000,2 bed,1 bath,600-699 sqft
"301-108 Peter Street, Toronto, ON",825000,2+1 bed,2 bath,700-799 sqft
"1460 Victoria Park Avenue, Toronto, ON",6950000,– bed,– bath,
"12 Flaremore Crescent, Toronto, ON",2388000,4+1 bed,3 bath,1500-2000 sqft
"N322-7 Golden Lion Heights, Toronto, ON",649000,2+1 bed,2 bath,700-799 sqft
"3101-1 Palace Pier Court, Toronto, ON",2300000,3 bed,3 bath,2750-2999 sqft
"S1014-8 Olympic Garden Drive, Toronto, ON",549000,1+1 bed,1 bath,600-699 sqft
"2113-210 Victoria Street, Toronto, ON",549000,1 bed,2 bath,800-899 sqft
"4201-39 Roehampton Avenue, Toronto, ON",588000,1+1 bed,2 bath,600-699 sqft
"9-17 Gosford Boulevard, Toronto, ON",799000,3+2 bed,3 bath,1400-1599 sqft
"386 Kennedy Road, Toronto, ON",1825000,4+3 bed,5 bath,2500-3000 sqft
"282 The East Mall N/a, Toronto, ON",1099900,3 bed,2 bath,1100-1500 sqft
"901-38 Fontenay Court, Toronto, ON",549900,1+1 bed,1 bath,600-699 sqft
"1307-15 Mercer Street, Toronto, ON",699999,2 bed,2 bath,600-699 sqft
"267 St Leonards Avenue, Toronto, ON",5895000,4+1 bed,5 bath,3500-5000 sqft
"410-629 King Street W, Toronto, ON",799800,1 bed,1 bath,700-799 sqft
"3901-311 Bay Street, Toronto, ON",2099000,2+1 bed,3 bath,2000-2249 sqft
"37 Avis Crescent, Toronto, ON",1048800,3+3 bed,2 bath,700-1100 sqft
"306-151 La Rose Avenue, Toronto, ON",299000,1 bed,1 bath,600-699 sqft
"706-11 Wellesley Street W, Toronto, ON",1199000,3 bed,2 bath,800-899 sqft
"2105-225 Sherway Gardens Road, Toronto, ON",689000,2 bed,2 bath,800-899 sqft
"1503-840 Queens Plate Drive, Toronto, ON",529999,1+1 bed,2 bath,700-799 sqft
"3449 Yonge Street, Toronto, ON",2250000,– bed,– bath,
"522&622-7 Grenville Street, Toronto, ON",1499000,1+1 bed,2 bath,1400-1599 sqft
"1310-16 Yonge Street, Toronto, ON",819000,1+1 bed,2 bath,700-799 sqft
"314-543 Richmond Street W, Toronto, ON",649900,1+1 bed,1 bath,600-699 sqft
"1615-75 Queens Wharf Road, Toronto, ON",745000,2 bed,2 bath,800-899 sqft
"423-4208 Dundas Street W, Toronto, ON",568000,1+1 bed,1 bath,600-699 sqft
"30 Glendale Avenue, Toronto, ON",1599000,4 bed,2 bath,1100-1500 sqft
"413 Parkside Drive, Toronto, ON",2199000,3+1 bed,4 bath,2500-3000 sqft
"58 Palmerston Avenue, Toronto, ON",1279000,3 bed,2 bath,1100-1500 sqft
"1915-100 Wingarden Court, Toronto, ON",448000,2 bed,2 bath,1000-1199 sqft
"1612-1250 Bridletowne Circle, Toronto, ON",399000,2 bed,1 bath,900-999 sqft
"1410-15 Zorra Street, Toronto, ON",499000,1 bed,1 bath,500-599 sqft
"17 Forest Path Court, Toronto, ON",1269000,4 bed,2 bath,1500-2000 sqft
"221-20 Burkebrook Place, Toronto, ON",650000,1 bed,1 bath,600-699 sqft
"TH8-175 Pears Avenue, Toronto, ON",899900,2 bed,2 bath,1000-1199 sqft
"262 Senlac Road, Toronto, ON",3049000,4+2 bed,6 bath,3500-5000 sqft
"210-18 Hillcrest Avenue, Toronto, ON",695000,2 bed,2 bath,1000-1199 sqft
"425 Arlington Avenue, Toronto, ON",1665000,2 bed,3 bath,1100-1500 sqft
"2206-1 Market Street, Toronto, ON",595000,1 bed,1 bath,500-599 sqft
"1103-100 Hayden Street, Toronto, ON",800000,2 bed,2 bath,800-899 sqft
"429-34 Western Battery Road, Toronto, ON",709000,1+1 bed,1 bath,700-799 sqft
"340-380 Macpherson Avenue, Toronto, ON",688000,1+1 bed,1 bath,700-799 sqft
"73 Inniswood Drive, Toronto, ON",1889000,4+2 bed,5 bath,2500-3000 sqft
"84 Wendell Avenue, Toronto, ON",2179999,4+2 bed,5 bath,3000-3500 sqft
"14 Graywood Drive E, Toronto, ON",2000000,– bed,– bath,3500-5000 sqft
"103-114 Vaughan Road, Toronto, ON",529000,2 bed,1 bath,600-699 sqft
"221-72 Esther Shiner Boulevard, Toronto, ON",519000,1 bed,1 bath,600-699 sqft
"710-170 Bayview Avenue, Toronto, ON",599900,1+1 bed,1 bath,500-599 sqft
"814 Duplex Avenue, Toronto, ON",1999000,3+1 bed,2 bath,1500-2000 sqft
"302-15 Sousa Mendes Street, Toronto, ON",899900,2+1 bed,3 bath,1000-1199 sqft
"243 Lippincott Street, Toronto, ON",2000000,7+2 bed,3 bath,< 700 sqft
"25 Yorkleigh Avenue, Toronto, ON",4588000,4+1 bed,7 bath,5000 + sqft
"1110-430 Mclevin Avenue, Toronto, ON",579000,2 bed,2 bath,900-999 sqft
"85 Kingsway Crescent, Toronto, ON",5599000,4+1 bed,7 bath,3500-5000 sqft
"1008-430 Mclevin Avenue, Toronto, ON",579000,2 bed,2 bath,1000-1199 sqft
"113 Donwoods Drive, Toronto, ON",,— bed,— bath,— sqft
"TH11-10 Buller Avenue, Toronto, ON",1249000,3 bed,2 bath,1400-1599 sqft
"315-18 Yorkville Avenue, Toronto, ON",599000,1+1 bed,1 bath,600-699 sqft
"41 Leila Jackson Terrace, Toronto, ON",1299888,4+1 bed,3 bath,2500-3000 sqft
"907-150 Sudbury Street, Toronto, ON",579990,2 bed,2 bath,700-799 sqft
"2117-230 Queens Quay W, Toronto, ON",525000,1 bed,1 bath,500-599 sqft
"3 Shortridge Court, Toronto, ON",1299900,3+1 bed,2 bath,2000-2500 sqft
"519-7 Grenville Street, Toronto, ON",598000,1+1 bed,2 bath,700-799 sqft
"589 Glen Park Avenue, Toronto, ON",2100000,4+1 bed,4 bath,3000-3500 sqft
"6-385 The East Mall N/a, Toronto, ON",1099000,2 bed,3 bath,1200-1399 sqft
"1611-55 Cooper Street, Toronto, ON",1059000,3 bed,2 bath,800-899 sqft
"29 Shamokin Drive, Toronto, ON",1798000,4+1 bed,3 bath,1500-2000 sqft
"11 Coppermill Drive, Toronto, ON",899999,3 bed,2 bath,700-1100 sqft
"68-70 Claremont Street, Toronto, ON",,— bed,— bath,— sqft
"144-415 Jarvis Street, Toronto, ON",623000,2 bed,1 bath,700-799 sqft
"506-18 Graydon Hall Drive, Toronto, ON",490000,1+1 bed,1 bath,500-599 sqft
"602-30 Tretti Way, Toronto, ON",479000,2 bed,2 bath,500-599 sqft
"1802-38 Dan Leckie Way, Toronto, ON",475000,1 bed,1 bath,0-499 sqft
"4009-21 Iceboat Terrace, Toronto, ON",833333,2 bed,2 bath,800-899 sqft
"524-7 Smith Crescent, Toronto, ON",799000,2 bed,2 bath,800-899 sqft
"608-88 Park Lawn Road, Toronto, ON",999999,2+1 bed,2 bath,1000-1199 sqft
"7 Becky Cheung Court, Toronto, ON",2900000,4+1 bed,6 bath,3500-5000 sqft
"2-497 Horner Avenue, Toronto, ON",699000,3 bed,2 bath,1400-1599 sqft
"3206-2212 Lakeshore Boulevard W, Toronto, ON",699000,2 bed,2 bath,700-799 sqft
"10-20 Glebe Road W, Toronto, ON",1049000,2 bed,2 bath,1200-1399 sqft
"3507-10 Park Lawn Road, Toronto, ON",799999,2+1 bed,2 bath,800-899 sqft
"804-90 Trinity Street, Toronto, ON",525000,1+1 bed,1 bath,500-599 sqft
"210 Glenayr Road, Toronto, ON",9480000,6+1 bed,7 bath,5000 + sqft
"PH6-234 Albion Road, Toronto, ON",449000,2+1 bed,1 bath,900-999 sqft
"1007-130 River Street, Toronto, ON",548888,1 bed,1 bath,600-699 sqft
"107-40 Homewood Avenue, Toronto, ON",387900,– bed,1 bath,0-499 sqft
"62 Lakeview Avenue, Toronto, ON",2150000,3+1 bed,3 bath,1500-2000 sqft
"48B Maybourne Avenue, Toronto, ON",1899000,4+1 bed,4 bath,2000-2500 sqft
"16 Aylesbury Road, Toronto, ON",2859000,4+1 bed,3 bath,3000-3500 sqft
"31 Seventeenth Street, Toronto, ON",1775000,3+1 bed,4 bath,2000-2500 sqft
"62 Lakeview Avenue, Toronto, ON",2150000,3+1 bed,3 bath,1500-2000 sqft
"2711-153 Beecroft Road, Toronto, ON",719000,2 bed,2 bath,800-899 sqft
"912-5 Soudan Avenue, Toronto, ON",868000,2 bed,2 bath,700-799 sqft
"14 Chinook Trail, Toronto, ON",1578000,4+1 bed,4 bath,2500-3000 sqft
"5 Hatton Court, Toronto, ON",3998000,5 bed,6 bath,3500-5000 sqft
"803-3018 Yonge Street, Toronto, ON",1210000,2 bed,2 bath,1000-1199 sqft
"6 Midhurst Drive, Toronto, ON",1099900,3+3 bed,4 bath,700-1100 sqft
"30R First Avenue, Toronto, ON",1099888,– bed,3 bath,2500-3000 sqft
"22 Dalbret Crescent, Toronto, ON",1298888,5 bed,3 bath,2000-2500 sqft
"101-323 Kingston Road, Toronto, ON",390000,1 bed,1 bath,0-499 sqft
"3202-4978 Yonge Street, Toronto, ON",585000,1+1 bed,1 bath,600-699 sqft
"801-7 Mabelle Avenue, Toronto, ON",649900,2+1 bed,2 bath,700-799 sqft
"2101-438 King Street W, Toronto, ON",1425000,2 bed,2 bath,1000-1199 sqft
"25 Blandford Street, Toronto, ON",799999,2 bed,2 bath,< 700 sqft
"17 Ardwold Gate, Toronto, ON",34500000,6+2 bed,11 bath,5000 + sqft
"294-296 College Street W, Toronto, ON",8800000,– bed,– bath,31-50 Years Old
"2404-50 Ordnance Street, Toronto, ON",605000,1 bed,1 bath,500-599 sqft
"2205-133 Torresdale Avenue, Toronto, ON",599000,2+1 bed,1 bath,1000-1199 sqft
"107 Bayview Ridge, Toronto, ON",2499000,3 bed,4 bath,2500-3000 sqft
"6 Holswade Road, Toronto, ON",889900,2 bed,2 bath,700-1100 sqft
"161 Macpherson Avenue, Toronto, ON",2995000,4 bed,5 bath,1500-2000 sqft
"131 Poyntz Avenue, Toronto, ON",3590000,4+1 bed,6 bath,3000-3500 sqft
"212-38 Howard Park Avenue, Toronto, ON",598000,1 bed,1 bath,500-599 sqft
"294-296 College Street W, Toronto, ON",8800000,– bed,– bath,31-50 Years Old
"909-70 Mill Street, Toronto, ON",849900,2 bed,2 bath,1000-1199 sqft
"5117-70 Temperance Street, Toronto, ON",699000,2+1 bed,2 bath,0-499 sqft
"203-219 Fort York Boulevard, Toronto, ON",749900,2 bed,2 bath,800-899 sqft
"4902-3 Gloucester Street, Toronto, ON",1450000,3 bed,2 bath,1000-1199 sqft
"1006-260 Scarlett Road, Toronto, ON",569900,1 bed,1 bath,700-799 sqft
"2007-60 Shuter Street, Toronto, ON",669000,1+1 bed,2 bath,600-699 sqft
"609-39 Roehampton Avenue, Toronto, ON",888790,3 bed,2 bath,800-899 sqft
"570 Broadway Avenue, Toronto, ON",1288000,2 bed,2 bath,700-1100 sqft
"239 Ellington Drive, Toronto, ON",1150000,3+2 bed,2 bath,700-1100 sqft
"205-36 Howard Park Avenue, Toronto, ON",489000,– bed,1 bath,0-499 sqft
"2022-2 Eva Road, Toronto, ON",598000,2 bed,2 bath,800-899 sqft
"1106-70 Annie Craig Drive, Toronto, ON",639000,1+1 bed,2 bath,600-699 sqft
"518-50 George Butchart Drive, Toronto, ON",659000,2 bed,2 bath,700-799 sqft
"1705-50 Town Centre Court, Toronto, ON",388000,– bed,1 bath,0-499 sqft
"49 Halfmoon Square, Toronto, ON",1009000,4+2 bed,4 bath,1500-2000 sqft
"219 Dunview Avenue, Toronto, ON",2438000,4+5 bed,5 bath,2500-3000 sqft
"176/178 Balsam Avenue, Toronto, ON",3349000,8+2 bed,5 bath,3000-3500 sqft
"605-160 Frederick Street, Toronto, ON",1099000,2 bed,2 bath,2000-2249 sqft
"5504-386 Yonge Street, Toronto, ON",869000,2+1 bed,2 bath,900-999 sqft
"2101-360 Ridelle Avenue, Toronto, ON",535000,2 bed,1 bath,1000-1199 sqft
"45 Summerhill Gardens, Toronto, ON",1499000,2 bed,1 bath,700-1100 sqft
"2506-2200 Lakeshore Boulevard W, Toronto, ON",545000,1 bed,1 bath,500-599 sqft
"1109-208 Queens Quay W, Toronto, ON",518800,1 bed,1 bath,500-599 sqft
"1602-16 Brookers Lane, Toronto, ON",597900,1 bed,1 bath,600-699 sqft
"LPH18-160 Vanderhoof Avenue, Toronto, ON",498000,1 bed,1 bath,600-699 sqft
"210-485 Rosewell Avenue, Toronto, ON",880500,2 bed,2 bath,900-999 sqft
"78 Woodfern Drive, Toronto, ON",849000,3+1 bed,3 bath,1100-1500 sqft
"715-80 Queens Wharf Road, Toronto, ON",485000,1+1 bed,1 bath,500-599 sqft
"8 Colvestone Road, Toronto, ON",6288000,5+1 bed,7 bath,5000 + sqft
"5007-25 Telegram Mews, Toronto, ON",1225000,2+1 bed,2 bath,1000-1199 sqft
"#202-600 Eglinton Avenue E, Toronto, ON",594900,1+1 bed,1 bath,700-799 sqft
"129 Imperial Street, Toronto, ON",2980000,4 bed,3 bath,2500-3000 sqft
"501-78 Warren Road, Toronto, ON",530000,1 bed,1 bath,600-699 sqft
"1708-130 River Street, Toronto, ON",729000,2 bed,2 bath,600-699 sqft
"179 Yonge Boulevard, Toronto, ON",4500000,4+1 bed,5 bath,3500-5000 sqft
"2403-386 Yonge Street, Toronto, ON",799000,1+1 bed,2 bath,700-799 sqft
"2970B Bayview Avenue, Toronto, ON",2888000,4+2 bed,5 bath,2500-3000 sqft
"2502-2 Anndale Drive, Toronto, ON",779900,2 bed,2 bath,800-899 sqft
"3904-88 Scott Street, Toronto, ON",1098000,2 bed,2 bath,700-799 sqft
"47 Commons Drive, Toronto, ON",1390000,3+2 bed,3 bath,1100-1500 sqft
"28-8 Olympic Gdn Drive, Toronto, ON",899000,3 bed,3 bath,1200-1399 sqft
"805-57 St. Joseph Street, Toronto, ON",548000,– bed,1 bath,0-499 sqft
"1507-955 Bay Street, Toronto, ON",936000,2 bed,2 bath,700-799 sqft
"3202-373 Front Street W, Toronto, ON",668800,1+1 bed,1 bath,600-699 sqft
"9 Lady Bower Crescent, Toronto, ON",935000,3+1 bed,3 bath,1500-2000 sqft
"21 Rustywood Drive, Toronto, ON",1588000,4 bed,2 bath,1500-2000 sqft
"2950 Bayview Avenue, Toronto, ON",1990000,4+2 bed,5 bath,1500-2000 sqft
"UPH1-1830 Bloor Street W, Toronto, ON",630000,1 bed,1 bath,500-599 sqft
"45 Taysham Crescent, Toronto, ON",1188888,7 bed,3 bath,2500-3000 sqft
"34 Kingsmount Pk Road, Toronto, ON",995000,3 bed,1 bath,1100-1500 sqft
"728-2020 Mcnicoll Avenue, Toronto, ON",599000,1+1 bed,2 bath,700-799 sqft
"908-35 Ormskirk Avenue, Toronto, ON",814900,2+1 bed,2 bath,1000-1199 sqft
"78B Foch Avenue, Toronto, ON",1420000,4 bed,4 bath,2000-2500 sqft
"2310-70 Queens Wharf Road, Toronto, ON",629900,1+1 bed,1 bath,500-599 sqft
"40 Lombardy Crescent, Toronto, ON",1059000,3+2 bed,3 bath,700-1100 sqft
"1909-38 Dan Leckie Way, Toronto, ON",629000,1+1 bed,1 bath,600-699 sqft
"37 Wilket Road, Toronto, ON",3500000,4+1 bed,4 bath,2500-3000 sqft
"PH2-1486 Bathurst Street, Toronto, ON",2199000,4 bed,3 bath,2000-2249 sqft
"316-70 Forest Manor Road, Toronto, ON",499999,1 bed,1 bath,500-599 sqft
"2001-3300 Don Mills Road, Toronto, ON",574880,2+1 bed,2 bath,1000-1199 sqft
"428-25 Greenview Avenue, Toronto, ON",734900,2 bed,2 bath,700-799 sqft
"401-5131 Sheppard Avenue E, Toronto, ON",449000,1+1 bed,1 bath,600-699 sqft
"1523-4K Spadina Avenue, Toronto, ON",555000,1+1 bed,1 bath,600-699 sqft
"716-370 Dixon Road, Toronto, ON",425000,2 bed,1 bath,1000-1199 sqft
"1101-8 Widmer Street, Toronto, ON",619000,1+1 bed,1 bath,500-599 sqft
"33 Webster Avenue, Toronto, ON",3995000,3 bed,5 bath,3000-3500 sqft
"2113-365 Church Street, Toronto, ON",519000,1+1 bed,1 bath,500-599 sqft
"910-5 Northtown Way, Toronto, ON",759999,2 bed,2 bath,900-999 sqft
"928-75 Bamburgh Circle, Toronto, ON",660000,2+1 bed,2 bath,1200-1399 sqft
"808-50 Forest Manor Road, Toronto, ON",728000,2 bed,2 bath,700-799 sqft
"811-4978 Yonge Street, Toronto, ON",,— bed,— bath,— sqft
"4-19 West Deane Park Drive, Toronto, ON",950000,3 bed,2 bath,1200-1399 sqft
"909-60 Bathurst Street, Toronto, ON",824900,1 bed,1 bath,700-799 sqft
"811-2433 Dufferin Street, Toronto, ON",799990,3+1 bed,2 bath,1200-1399 sqft
"801-181 Sheppard Avenue E, Toronto, ON",,— bed,— bath,— sqft
"951 Dundas Street W, Toronto, ON",2599900,4+1 bed,4 bath,1500-2000 sqft
"603 Spadina Road, Toronto, ON",1880000,4 bed,3 bath,1500-2000 sqft
"2711-319 Jarvis Street, Toronto, ON",599800,1 bed,1 bath,0-499 sqft
"71 Gorsey Square, Toronto, ON",899000,4 bed,2 bath,1100-1500 sqft
"2201-71 Simcoe Street, Toronto, ON",1099000,1+1 bed,2 bath,1200-1399 sqft
"G19-350 Wellington Street, Toronto, ON",1399900,2 bed,2 bath,1000-1199 sqft
"1820 Dundas Street E, Toronto, ON",1299900,3+1 bed,3 bath,700-1100 sqft
"70 Dunraven Drive, Toronto, ON",839999,2+1 bed,2 bath,700-1100 sqft
"213-801 King Street W, Toronto, ON",779000,2 bed,2 bath,800-899 sqft
"71 Russett Avenue, Toronto, ON",1198800,3 bed,2 bath,1100-1500 sqft
"1230 King Street W, Toronto, ON",999995,– bed,– bath,
"5303-35 Mariner Terrace, Toronto, ON",699000,1+1 bed,1 bath,700-799 sqft
"3003-38 Elm Street, Toronto, ON",699000,2 bed,2 bath,1000-1199 sqft
"33-377 Military Trail, Toronto, ON",739000,3+1 bed,2 bath,1200-1399 sqft
"TH1-3076 Lake Shore Boulevard W, Toronto, ON",939900,2 bed,3 bath,1400-1599 sqft
"404-68 Merton Street, Toronto, ON",875000,2 bed,2 bath,900-999 sqft
"807-10 Park Lawn Road, Toronto, ON",769999,2+1 bed,2 bath,800-899 sqft
"1003-90 Glen Everest Road, Toronto, ON",899900,3 bed,2 bath,900-999 sqft
"1309-832 Bay Street, Toronto, ON",519000,1 bed,1 bath,0-499 sqft
"1380 Woodbine Avenue, Toronto, ON",1129000,2+1 bed,2 bath,700-1100 sqft
"681 Glencairn Avenue, Toronto, ON",2749000,4+1 bed,4 bath,2500-3000 sqft
"217-43 Hanna Avenue, Toronto, ON",839000,1+1 bed,1 bath,700-799 sqft
"5006-197 Yonge Street, Toronto, ON",574900,1 bed,1 bath,500-599 sqft
"998 Bathurst Street, Toronto, ON",1500000,2 bed,3 bath,1100-1500 sqft
"336 Riverview Drive, Toronto, ON",7500000,– bed,– bath,< 700 sqft
"5507-395 Bloor Street E, Toronto, ON",699000,2 bed,1 bath,700-799 sqft
"231 Grenview Boulevard S, Toronto, ON",2750000,3+1 bed,3 bath,2000-2500 sqft
"217 Wilfred Avenue, Toronto, ON",2399900,4+1 bed,5 bath,2500-3000 sqft
