address,price,beds,baths,sqft,TotalBeds,TotalBaths,CleanedSqft,full_bed,half_bed
"405-90 Sherbourne Street, Toronto, ON",849900.0,1,1,1000-1199,1.0,1.0,1100.0,1,0
"52 Belcourt Road, Toronto, ON",1299000.0,1+1,1,700-1100,2.0,1.0,900.0,1,1
"72 Jeremiah Lane, Toronto, ON",819000.0,3,3,1500-2000,3.0,3.0,1750.0,3,0
"2708-88 Blue Jays Way, Toronto, ON",999999.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"904-33 Shore Breeze Drive, Toronto, ON",629900.0,1,1,600-699,1.0,1.0,650.0,1,0
"61 John Lindsay Court, Toronto, ON",879000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"1003-28 Linden Street, Toronto, ON",595000.0,1,1,600-699,1.0,1.0,650.0,1,0
"924-9 Mabelle Avenue, Toronto, ON",400000.0,1,1,500-599,1.0,1.0,550.0,1,0
"76 Kenilworth Avenue, Toronto, ON",1199999.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"2406-286 Main Street, Toronto, ON",659000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"30 Clearlake Avenue, Toronto, ON",1398800.0,4+2,6,2500-3000,6.0,6.0,2750.0,4,2
"53-33 Proudbank Millway Way, Toronto, ON",799000.0,3+1,4,1600-1799,4.0,4.0,1700.0,3,1
"1074 Midland Avenue, Toronto, ON",999009.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"2006-5793 Yonge Street, Toronto, ON",449000.0,1,1,500-599,1.0,1.0,550.0,1,0
"2923-5 Sheppard Avenue E, Toronto, ON",985000.0,2,2,900-999,2.0,2.0,950.0,2,0
"1010-19 Bathurst Street, Toronto, ON",599000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"807-400 Wellington Street W, Toronto, ON",1500000.0,2,3,1000-1199,2.0,3.0,1100.0,2,0
"161 Queensdale Avenue, Toronto, ON",1249000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"PH504-5765 Yonge Street, Toronto, ON",699000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"32 De Grassi Street, Toronto, ON",1299999.0,3+1,3,2500-3000,4.0,3.0,2750.0,3,1
"1409-12 York Street, Toronto, ON",524888.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"3309-1928 Lake Shore Boulevard W, Toronto, ON",1159000.0,2,2,900-999,2.0,2.0,950.0,2,0
"809-42 Charles Street E, Toronto, ON",499000.0,2,1,600-699,2.0,1.0,650.0,2,0
"1 Bloor Street S, Toronto, ON",1150000.0,2,3,800-899,2.0,3.0,850.0,2,0
"216-320 Dixon Road, Toronto, ON",374900.0,2+1,1,900-999,3.0,1.0,950.0,2,1
"728-60 Heintzman Street, Toronto, ON",459000.0,1,1,500-599,1.0,1.0,550.0,1,0
"53 Delburn Drive, Toronto, ON",1588000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"7 Ivybridge Drive, Toronto, ON",1875000.0,3+3,4,1100-1500,6.0,4.0,1300.0,3,3
"18 Divadale Drive, Toronto, ON",5499000.0,4+1,7,3500-5000,5.0,7.0,4250.0,4,1
"90 Clement Road, Toronto, ON",1399900.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"601-2240 Lake Shore Boulevard W, Toronto, ON",670000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"10-3500 Brimley Road, Toronto, ON",699000.0,3+1,2,1200-1399,4.0,2.0,1300.0,3,1
"2604 NT-99 Broadway Avenue, Toronto, ON",599900.0,2,2,600-699,2.0,2.0,650.0,2,0
"1007-5740 Yonge Street, Toronto, ON",549999.0,2,2,700-799,2.0,2.0,750.0,2,0
"106-650 King Street W, Toronto, ON",998000.0,2,2,1200-1399,2.0,2.0,1300.0,2,0
"79 Radwell Crescent, Toronto, ON",1088000.0,3+2,5,1500-2000,5.0,5.0,1750.0,3,2
"597 Conacher Drive, Toronto, ON",1298888.0,3+3,3,700-1100,6.0,3.0,900.0,3,3
"245 Ranleigh Avenue, Toronto, ON",2452000.0,4+2,4,2000-2500,6.0,4.0,2250.0,4,2
"603-1055 Bay Street, Toronto, ON",518000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1810-20 Richardson Street, Toronto, ON",759900.0,2,2,700-799,2.0,2.0,750.0,2,0
"7 West Wareside Road, Toronto, ON",999000.0,3+1,2,1500-2000,4.0,2.0,1750.0,3,1
"4444 Bathurst Street, Toronto, ON",999999.0,3,3,1500-2000,3.0,3.0,1750.0,3,0
"63 Shepmore Terrace, Toronto, ON",869900.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"3301-159 Wellesley Street E, Toronto, ON",553000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1213-330 Mccowan Road W, Toronto, ON",539000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"912-236 Albion Road, Toronto, ON",468000.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"105-195 Merton Street, Toronto, ON",728000.0,2,1,800-899,2.0,1.0,850.0,2,0
"503-30 Canterbury Place, Toronto, ON",599000.0,1+1,2,800-899,2.0,2.0,850.0,1,1
"808-7 Smith Crescent, Toronto, ON",1199000.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"321-20 Southport Street, Toronto, ON",648000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"14 Pinegrove Avenue, Toronto, ON",899000.0,3+1,2,700-1100,4.0,2.0,900.0,3,1
"5101-395 Bloor Street E, Toronto, ON",538900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"357 Roehampton Avenue, Toronto, ON",2549000.0,5+2,3,2500-3000,7.0,3.0,2750.0,5,2
"355 Roehampton Avenue, Toronto, ON",1649000.0,2,1,700-1100,2.0,1.0,900.0,2,0
"902-170 Sumach Street, Toronto, ON",749900.0,2,2,700-799,2.0,2.0,750.0,2,0
"509-3220 Sheppard Avenue E, Toronto, ON",618888.0,1+1,1,800-899,2.0,1.0,850.0,1,1
"UNIT D-32 Massey Street, Toronto, ON",955000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"63 Hallam Street, Toronto, ON",950000.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"101 Grandview Way, Toronto, ON",699999.0,2,2,1400-1599,2.0,2.0,1500.0,2,0
"1004-70 Alexander Street, Toronto, ON",458000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"S912-8 Olympic Garden Drive, Toronto, ON",928000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"S3309-8 Olympic Garden Drive, Toronto, ON",538000.0,1,1,500-599,1.0,1.0,550.0,1,0
"28 Flerimac Road, Toronto, ON",985000.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"613-52 Forest Manor Road, Toronto, ON",499999.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"505-25 Adra Grado Way, Toronto, ON",669000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"803-39 Annie Craig Drive, Toronto, ON",489000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"3308-110 Charles Street S, Toronto, ON",835800.0,2,3,800-899,2.0,3.0,850.0,2,0
"75 Samson Crescent, Toronto, ON",975000.0,3+1,2,700-1100,4.0,2.0,900.0,3,1
"176 Symington Avenue, Toronto, ON",1249999.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"302-330 Adelaide Street E, Toronto, ON",679900.0,2,2,900-999,2.0,2.0,950.0,2,0
"209-5580 Sheppard Avenue E, Toronto, ON",399000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"1506-28 Ted Rogers Way, Toronto, ON",637000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2208-340 Dixon Road, Toronto, ON",268000.0,2,1,800-899,2.0,1.0,850.0,2,0
"2045-35 Viking Lane, Toronto, ON",495000.0,1,1,600-699,1.0,1.0,650.0,1,0
"3 Silvertip Crescent, Toronto, ON",999988.0,3+2,3,1500-2000,5.0,3.0,1750.0,3,2
"53 Woody Vine Way, Toronto, ON",675000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
