address,price,beds,baths,sqft,TotalBeds,TotalBaths,CleanedSqft,full_bed,half_bed
"511-30 Ordnance Street, Toronto, ON",459000.0,1,1,600-699,1.0,1.0,650.0,1,0
"904-7 Kenaston Gardens, Toronto, ON",499000.0,1,1,0-499,1.0,1.0,250.0,1,0
"1366 Davenport Road, Toronto, ON",948000.0,3+1,3,700-1100,4.0,3.0,900.0,3,1
"26 Madawaska Avenue, Toronto, ON",2799000.0,4+1,5,3000-3500,5.0,5.0,3250.0,4,1
"9-8 Liszt Gate, Toronto, ON",898000.0,4+1,3,1600-1799,5.0,3.0,1700.0,4,1
"101-8 Covington Road, Toronto, ON",885000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"2702-29 Singer Court, Toronto, ON",758000.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"501-224 King Street W, Toronto, ON",799000.0,1,1,900-999,1.0,1.0,950.0,1,0
"1945 Dufferin Street, Toronto, ON",799900.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"B-895 Adelaide Street W, Toronto, ON",1179000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"28 D'arcy Street, Toronto, ON",2699999.0,7,2,2000-2500,7.0,2.0,2250.0,7,0
"61 Hove Street, Toronto, ON",2798000.0,5,5,3500-5000,5.0,5.0,4250.0,5,0
"4203-15 Grenville Street, Toronto, ON",1120000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"201-111 Elizabeth Street, Toronto, ON",539000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1021-800 Lawrence Avenue W, Toronto, ON",465000.0,1,1,0-499,1.0,1.0,250.0,1,0
"3809-38 Grenville Street, Toronto, ON",589000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2008-38 Grenville Street, Toronto, ON",685000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"105 Livingstone Avenue, Toronto, ON",1149000.0,2+2,2,700-1100,4.0,2.0,900.0,2,2
"324-90 Glen Everest Road, Toronto, ON",449000.0,1,1,500-599,1.0,1.0,550.0,1,0
"2 Clark Secor Place, Toronto, ON",1499999.0,4,4,2500-3000,4.0,4.0,2750.0,4,0
"313-45 Strangford Lane, Toronto, ON",665999.0,2,3,1000-1199,2.0,3.0,1100.0,2,0
"211-2020 Bathurst Street, Toronto, ON",849000.0,3,2,800-899,3.0,2.0,850.0,3,0
"4504-11 Wellesley Street W, Toronto, ON",738800.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"15 Markham Street, Toronto, ON",1749000.0,2+2,3,1100-1500,4.0,3.0,1300.0,2,2
"5-2550 Birchmount Road, Toronto, ON",750000.0,3+1,2,1000-1199,4.0,2.0,1100.0,3,1
"526-1 Bloor Street E, Toronto, ON",979900.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"138-25 Bamburgh Circle, Toronto, ON",859900.0,3,2,1600-1799,3.0,2.0,1700.0,3,0
"420 Jane Street, Toronto, ON",1150000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"50 Bellefontaine Street, Toronto, ON",3200000.0,4+3,6,3500-5000,7.0,6.0,4250.0,4,3
"2 Monteith Street, Toronto, ON",1680000.0,6+1,3,1500-2000,7.0,3.0,1750.0,6,1
"1404-21 Carlton Street, Toronto, ON",499000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"31 Overton Crescent, Toronto, ON",3688000.0,4+1,5,3000-3500,5.0,5.0,3250.0,4,1
"246B Berkeley Street, Toronto, ON",999999.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"417-275 Village Green Square, Toronto, ON",479000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"2607-110 Charles Street E, Toronto, ON",838000.0,2,2,800-899,2.0,2.0,850.0,2,0
"155 Merchants' Wharf N/a, Toronto, ON",2388000.0,2,3,1400-1599,2.0,3.0,1500.0,2,0
"52 Leacock Crescent, Toronto, ON",2358000.0,4+1,4,2000-2500,5.0,4.0,2250.0,4,1
"210-18 Graydon Hall Drive, Toronto, ON",648888.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"908-2350 Bridletowne Circle, Toronto, ON",609000.0,1+1,2,1400-1599,2.0,2.0,1500.0,1,1
"307-717 Eglinton Avenue W, Toronto, ON",545000.0,1,1,700-799,1.0,1.0,750.0,1,0
"515-451 The West Mall N/a, Toronto, ON",514900.0,2,1,1000-1199,2.0,1.0,1100.0,2,0
"1909-180 Fairview Mall Drive, Toronto, ON",728000.0,2,2,800-899,2.0,2.0,850.0,2,0
"2708-1410 Dupont Street, Toronto, ON",499900.0,1,1,0-499,1.0,1.0,250.0,1,0
"1010-2A Church Street, Toronto, ON",849900.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"722-231 Fort York Boulevard, Toronto, ON",499900.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"1105-11 Brunel Court, Toronto, ON",499900.0,1,1,500-599,1.0,1.0,550.0,1,0
"519-115 Blue Jays Way, Toronto, ON",485000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1217-500 Wilson Avenue, Toronto, ON",648000.0,2,2,500-599,2.0,2.0,550.0,2,0
"1110-260 Seneca Hill Drive, Toronto, ON",679900.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"11 Roseheath Avenue, Toronto, ON",999999.0,3,1,700-1100,3.0,1.0,900.0,3,0
"2101-138 Downes Street, Toronto, ON",649000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"LL70-123 Omni Drive, Toronto, ON",388000.0,1,1,700-799,1.0,1.0,750.0,1,0
"2501-5162 Yonge Street, Toronto, ON",778000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"266-60 Parrotta Drive, Toronto, ON",649988.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"49 Evelyn Avenue, Toronto, ON",2189000.0,4+1,3,1500-2000,5.0,3.0,1750.0,4,1
"360 Roxton Road, Toronto, ON",1569000.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"415-55 Front Street E, Toronto, ON",1136000.0,2,2,900-999,2.0,2.0,950.0,2,0
"210 Glencairn Avenue, Toronto, ON",3599000.0,5+1,3,2000-2500,6.0,3.0,2250.0,5,1
"20 Amesbury Drive, Toronto, ON",1299000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"43 Beckett Avenue, Toronto, ON",1299000.0,4+3,5,1500-2000,7.0,5.0,1750.0,4,3
"38 Mimico Avenue, Toronto, ON",1325000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"6 Gibson Avenue, Toronto, ON",2149000.0,3,3,1500-2000,3.0,3.0,1750.0,3,0
"42 Forty First Street, Toronto, ON",1198000.0,1+1,2,700-1100,2.0,2.0,900.0,1,1
"108-160 Canon Jackson Drive, Toronto, ON",649999.0,2,2,800-899,2.0,2.0,850.0,2,0
"514-628 Fleet Street, Toronto, ON",949000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"1912-225 Sackville Street, Toronto, ON",489900.0,1,1,500-599,1.0,1.0,550.0,1,0
"216 Balsam Avenue, Toronto, ON",1549900.0,4+1,3,2000-2500,5.0,3.0,2250.0,4,1
"502-68 Merton Street, Toronto, ON",658000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"2007-16 Yonge Street, Toronto, ON",749000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"28-2075 Warden Avenue, Toronto, ON",729000.0,3+2,3,1000-1199,5.0,3.0,1100.0,3,2
"ON-62 Munro Boulevard, Toronto, ON",2488000.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"466 Donlands Avenue, Toronto, ON",999900.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"608-455 Wellington Street, Toronto, ON",2595000.0,2,3,1600-1799,2.0,3.0,1700.0,2,0
"857 Windermere Avenue, Toronto, ON",1079000.0,3,1,1100-1500,3.0,1.0,1300.0,3,0
"401-30 Samuel Wood Way, Toronto, ON",522500.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"2707-7 Grenville Street, Toronto, ON",698000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"191 Glen Cedar Road, Toronto, ON",1965000.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"1402-56 Annie Craig Drive, Toronto, ON",749880.0,2,1,700-799,2.0,1.0,750.0,2,0
"34 Alpaca Drive, Toronto, ON",1160000.0,6+1,3,1500-2000,7.0,3.0,1750.0,6,1
"23 Hodge Lane, Toronto, ON",1150000.0,3,3,1500-2000,3.0,3.0,1750.0,3,0
"1501-49 East Liberty Street, Toronto, ON",589000.0,2,2,600-699,2.0,2.0,650.0,2,0
"313-165 Canon Jackson Drive, Toronto, ON",674900.0,2,2,800-899,2.0,2.0,850.0,2,0
"608-55 Ann O'reilly Road, Toronto, ON",639000.0,2,2,700-799,2.0,2.0,750.0,2,0
"12-423 Avenue Road, Toronto, ON",1738000.0,2+1,3,1400-1599,3.0,3.0,1500.0,2,1
"63 Riverside Drive, Toronto, ON",1349000.0,5,3,2000-2500,5.0,3.0,2250.0,5,0
"186 Holborne Avenue, Toronto, ON",2148000.0,4+2,5,2000-2500,6.0,5.0,2250.0,4,2
"39 Bentworth Avenue, Toronto, ON",1369000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"52 Judy Sgro Avenue, Toronto, ON",799900.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"21-6063 Kingston Road, Toronto, ON",599990.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"723-1 Edgewater Drive, Toronto, ON",560000.0,1,1,0-499,1.0,1.0,250.0,1,0
"121 Roxborough Drive, Toronto, ON",7498000.0,4+1,4,3500-5000,5.0,4.0,4250.0,4,1
"27 Wilberton Road, Toronto, ON",3995000.0,6,5,3500-5000,6.0,5.0,4250.0,6,0
"65 Kane Avenue, Toronto, ON",949000.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"706-50 Thomas Riley Road, Toronto, ON",519000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"415-205 Manning Avenue, Toronto, ON",829000.0,2,1,800-899,2.0,1.0,850.0,2,0
"1116-352 Front Street W, Toronto, ON",549990.0,1,1,500-599,1.0,1.0,550.0,1,0
"1016-121 Ling Road, Toronto, ON",468800.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"65-397 Beechgrove Drive, Toronto, ON",619900.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"207-330 Dixon Road, Toronto, ON",459900.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"180 Glenwood Crescent, Toronto, ON",1799900.0,4+1,4,1500-2000,5.0,4.0,1750.0,4,1
"18 College View Avenue, Toronto, ON",3595000.0,7+2,6,3500-5000,9.0,6.0,4250.0,7,2
"72 Lobo Mews, Toronto, ON",1225000.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"49 Kentish Crescent, Toronto, ON",1299000.0,4+1,4,2000-2500,5.0,4.0,2250.0,4,1
"1408-234 Albion Road, Toronto, ON",498800.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"38 Odoardo Di Santo Circle, Toronto, ON",838999.0,3+1,4,1500-2000,4.0,4.0,1750.0,3,1
"3205-10 Park Lawn Road, Toronto, ON",559900.0,1,1,500-599,1.0,1.0,550.0,1,0
"94 Windhill Crescent, Toronto, ON",949000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"59 Pogonia Street, Toronto, ON",1799800.0,4+3,5,3000-3500,7.0,5.0,3250.0,4,3
"301-6 Jackes Avenue, Toronto, ON",2495000.0,2,3,1800-1999,2.0,3.0,1900.0,2,0
"711-33 Singer Court, Toronto, ON",730000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"508 Vesta Drive, Toronto, ON",4995000.0,5+2,4,3500-5000,7.0,4.0,4250.0,5,2
"18 Northglen Avenue, Toronto, ON",3950000.0,4+2,4,2500-3000,6.0,4.0,2750.0,4,2
"227 Silver Birch Avenue, Toronto, ON",1299900.0,2+1,2,1100-1500,3.0,2.0,1300.0,2,1
"213-30 Meadowglen Place, Toronto, ON",459000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"307-83 Mondeo Drive, Toronto, ON",749900.0,2+1,2,1200-1399,3.0,2.0,1300.0,2,1
"127 Mill Road, Toronto, ON",1229000.0,4,4,2000-2249,4.0,4.0,2124.0,4,0
"814-121 Trudelle Street, Toronto, ON",459999.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"TH5-2 Bellefair Avenue, Toronto, ON",1799900.0,3,4,2000-2249,3.0,4.0,2124.0,3,0
"11 Dennis Avenue, Toronto, ON",1499900.0,4+2,3,1500-2000,6.0,3.0,1750.0,4,2
"68 Raffeix Lane, Toronto, ON",949000.0,2,3,700-1100,2.0,3.0,900.0,2,0
"103-10 Augustus Terrace, Toronto, ON",1429000.0,3+1,4,2000-2249,4.0,4.0,2124.0,3,1
"298 Newton Drive, Toronto, ON",2998800.0,4+1,4,1500-2000,5.0,4.0,1750.0,4,1
"17 Hedges Boulevard, Toronto, ON",1289000.0,3+2,2,1100-1500,5.0,2.0,1300.0,3,2
"31 Orleans Drive, Toronto, ON",1049900.0,4,3,2500-3000,4.0,3.0,2750.0,4,0
"107 Lee Avenue, Toronto, ON",3179000.0,4+1,4,2000-2500,5.0,4.0,2250.0,4,1
"1508-195 Wynford Drive, Toronto, ON",529000.0,1+1,1,700-799,2.0,1.0,750.0,1,1
"611-210 Simcoe Street, Toronto, ON",689000.0,2,1,700-799,2.0,1.0,750.0,2,0
"227-80 Front Street E, Toronto, ON",1399900.0,2,3,1800-1999,2.0,3.0,1900.0,2,0
"24 Beran Drive, Toronto, ON",979900.0,3+1,2,700-1100,4.0,2.0,900.0,3,1
"1413-5 Northtown Way, Toronto, ON",848000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"243 Johnston Avenue, Toronto, ON",1499000.0,2+1,2,1100-1500,3.0,2.0,1300.0,2,1
"98 Roselawn Avenue, Toronto, ON",1800000.0,4,4,1500-2000,4.0,4.0,1750.0,4,0
"1112-40 Homewood Avenue, Toronto, ON",499000.0,1,1,500-599,1.0,1.0,550.0,1,0
"2106-10 Wilby Crescent, Toronto, ON",699500.0,3,2,900-999,3.0,2.0,950.0,3,0
"330-954 King Street W, Toronto, ON",1349900.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"4702-11 Brunel Court, Toronto, ON",699999.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2 Woodpark Road, Toronto, ON",1399999.0,3+4,4,1100-1500,7.0,4.0,1300.0,3,4
"16 Marblehead Road, Toronto, ON",1399900.0,3+1,4,1500-2000,4.0,4.0,1750.0,3,1
"48 South Woodrow Boulevard, Toronto, ON",1099900.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"14 Hampton Park Crescent, Toronto, ON",2695000.0,4,5,3000-3500,4.0,5.0,3250.0,4,0
"816-33 Frederick Todd Way, Toronto, ON",1200000.0,2,3,1000-1199,2.0,3.0,1100.0,2,0
"2-2 Nursewood Road, Toronto, ON",1399997.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"49 Osler Street, Toronto, ON",1389900.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"2204-65 Harbour Square, Toronto, ON",1590000.0,2,2,1400-1599,2.0,2.0,1500.0,2,0
"3903-501 Yonge Street, Toronto, ON",588000.0,1+1,1,0-499,2.0,1.0,250.0,1,1
"325-1787 St Clair Avenue W, Toronto, ON",849999.0,2,2,800-899,2.0,2.0,850.0,2,0
"104-55 Carscadden Drive, Toronto, ON",898000.0,2,2,1600-1799,2.0,2.0,1700.0,2,0
"2007-28 Ted Rogers Way, Toronto, ON",559000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"2007-500 St Clair Avenue W, Toronto, ON",885000.0,2,2,800-899,2.0,2.0,850.0,2,0
"750 Crawford Street, Toronto, ON",2979000.0,4+1,6,3000-3500,5.0,6.0,3250.0,4,1
"423-437 Roncesvalles Avenue, Toronto, ON",949900.0,2,2,900-999,2.0,2.0,950.0,2,0
"519-50 O'neill Road, Toronto, ON",485000.0,1,1,0-499,1.0,1.0,250.0,1,0
"1708-234 Albion Road, Toronto, ON",448000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"245-25 Adra Grado Way, Toronto, ON",618000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"17 Savarin Street, Toronto, ON",939900.0,3+2,2,700-1100,5.0,2.0,900.0,3,2
"117 Jeffcoat Drive, Toronto, ON",1098868.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"80 Glenaden Avenue E, Toronto, ON",1775000.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"272&276 King Edward Avenue, Toronto, ON",1999900.0,6,5,2500-3000,6.0,5.0,2750.0,6,0
"101-70 Sidney Belsey Crescent, Toronto, ON",649000.0,3,2,1000-1199,3.0,2.0,1100.0,3,0
"4008-138 Downes Street, Toronto, ON",723333.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"2703-33 Singer Court, Toronto, ON",479000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"179 Chisholm Avenue, Toronto, ON",1149000.0,3,2,700-1100,3.0,2.0,900.0,3,0
"3204-15 Mercer Street, Toronto, ON",918000.0,2+1,2,800-899,3.0,2.0,850.0,2,1
"206-952 Kingston Road, Toronto, ON",494900.0,1,1,600-699,1.0,1.0,650.0,1,0
"304-68 Yorkville Avenue N, Toronto, ON",3350000.0,2+1,3,2250-2499,3.0,3.0,2374.0,2,1
"617-621 Sheppard Avenue E, Toronto, ON",488888.0,1,1,0-499,1.0,1.0,250.0,1,0
"317-15 Bruyeres Mews, Toronto, ON",599900.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"542 Glen Park Avenue, Toronto, ON",999000.0,2+1,2,700-1100,3.0,2.0,900.0,2,1
"62-109 Jenny Wrenway N/a, Toronto, ON",979000.0,3+1,2,1800-1999,4.0,2.0,1900.0,3,1
"2105-75 St Nicholas Street, Toronto, ON",549000.0,1,1,500-599,1.0,1.0,550.0,1,0
"1112-155 Beecroft Road, Toronto, ON",528000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"3001-55 Bremner Boulevard, Toronto, ON",849900.0,2+1,2,900-999,3.0,2.0,950.0,2,1
"10 Haida Court, Toronto, ON",2499800.0,4+2,5,3000-3500,6.0,5.0,3250.0,4,2
"29 Treadway Boulevard, Toronto, ON",2195000.0,3+1,4,2000-2500,4.0,4.0,2250.0,3,1
"332 Sutherland Drive, Toronto, ON",3195000.0,4+1,5,2500-3000,5.0,5.0,2750.0,4,1
"78 Portland Street, Toronto, ON",999900.0,3,3,700-1100,3.0,3.0,900.0,3,0
"88A Glen Road, Toronto, ON",2748000.0,3,4,1500-2000,3.0,4.0,1750.0,3,0
"164 Dunblaine Avenue, Toronto, ON",3999000.0,4+1,5,3000-3500,5.0,5.0,3250.0,4,1
"419 Mortimer Avenue, Toronto, ON",998000.0,3,1,1100-1500,3.0,1.0,1300.0,3,0
"116 Boardwalk Drive, Toronto, ON",2129000.0,3+1,4,2000-2500,4.0,4.0,2250.0,3,1
"710-10 Inn On The Park Drive, Toronto, ON",2790000.0,3,3,2000-2249,3.0,3.0,2124.0,3,0
"2208-15 Zorra Street, Toronto, ON",528988.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"34 Joicey Boulevard, Toronto, ON",2999900.0,4+1,5,2000-2500,5.0,5.0,2250.0,4,1
"2302-59 East Liberty Street, Toronto, ON",1080000.0,2+1,2,1200-1399,3.0,2.0,1300.0,2,1
"304-2511 Bloor Street W, Toronto, ON",1135000.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"2607-18 Harrison Garden Boulevard, Toronto, ON",562000.0,1,1,500-599,1.0,1.0,550.0,1,0
"203-99 The Donway West Road, Toronto, ON",539000.0,1,1,500-599,1.0,1.0,550.0,1,0
"312-3085 Bloor Street W, Toronto, ON",899900.0,2,2,1000-1199,2.0,2.0,1100.0,2,0
"16-31 Treeland Way, Toronto, ON",878000.0,3+1,4,1400-1599,4.0,4.0,1500.0,3,1
"409 Rustic Road, Toronto, ON",1188800.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"24 Grovenest Drive, Toronto, ON",949000.0,3,2,1100-1500,3.0,2.0,1300.0,3,0
"239 Assiniboine Road, Toronto, ON",1299000.0,6+3,6,2000-2500,9.0,6.0,2250.0,6,3
"853 Brimorton Drive, Toronto, ON",1049000.0,3+3,3,700-1100,6.0,3.0,900.0,3,3
"1008-28 Hollywood Avenue, Toronto, ON",709000.0,2+1,2,1000-1199,3.0,2.0,1100.0,2,1
"1826-525 Adelaide Street W, Toronto, ON",668000.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"2902-4978 Yonge Street, Toronto, ON",579000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"303-15 Merchants' Wharf N/a, Toronto, ON",745000.0,1+1,2,700-799,2.0,2.0,750.0,1,1
"46 Stanley Terrace, Toronto, ON",1929000.0,2+1,3,1500-2000,3.0,3.0,1750.0,2,1
"92 Felbrigg Avenue, Toronto, ON",2998000.0,4+1,5,2500-3000,5.0,5.0,2750.0,4,1
"102 Eileen Avenue, Toronto, ON",799800.0,2,1,700-1100,2.0,1.0,900.0,2,0
"14 Dunedin Drive, Toronto, ON",2900000.0,4,4,2000-2500,4.0,4.0,2250.0,4,0
"163 Cortleigh Boulevard, Toronto, ON",7390000.0,4+1,6,3500-5000,5.0,6.0,4250.0,4,1
"592 Hillsdale Avenue E, Toronto, ON",2275000.0,3+1,3,1500-2000,4.0,3.0,1750.0,3,1
"8 Silverthorne Bush Drive, Toronto, ON",1998000.0,3,3,2000-2500,3.0,3.0,2250.0,3,0
"1208-340 Dixon Road, Toronto, ON",380800.0,2,1,800-899,2.0,1.0,850.0,2,0
"402-576 Front Street W, Toronto, ON",478000.0,1,1,0-499,1.0,1.0,250.0,1,0
"201-900 Yonge Street, Toronto, ON",1439000.0,2+1,2,1400-1599,3.0,2.0,1500.0,2,1
"402-81 Wellesley Street E, Toronto, ON",599900.0,1,1,600-699,1.0,1.0,650.0,1,0
"243 Rose Park Drive, Toronto, ON",6495000.0,5+1,6,3500-5000,6.0,6.0,4250.0,5,1
"9 Rusholme Drive, Toronto, ON",2590000.0,3+1,5,2500-3000,4.0,5.0,2750.0,3,1
"19 Brian Avenue, Toronto, ON",1149000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"88 Binscarth Road, Toronto, ON",7695000.0,6+1,6,3500-5000,7.0,6.0,4250.0,6,1
"51 Hertle Avenue, Toronto, ON",1290000.0,3,3,1500-2000,3.0,3.0,1750.0,3,0
"612-28 Olive Avenue, Toronto, ON",560000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"636-591 Sheppard Avenue E, Toronto, ON",535000.0,1,1,500-599,1.0,1.0,550.0,1,0
"SPH2406-10 Queens Quay W, Toronto, ON",639999.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"8 Branch Avenue, Toronto, ON",1850000.0,3,5,2500-3000,3.0,5.0,2750.0,3,0
"1902-17 Zorra Street, Toronto, ON",465000.0,1,1,0-499,1.0,1.0,250.0,1,0
"9 Canfield Place, Toronto, ON",3500000.0,3+1,5,2500-3000,4.0,5.0,2750.0,3,1
"68 Maywood Park, Toronto, ON",1049999.0,5+1,3,1500-2000,6.0,3.0,1750.0,5,1
"40 Manderley Drive, Toronto, ON",1849000.0,4+1,4,2500-3000,5.0,4.0,2750.0,4,1
"1904-55 Regent Park Boulevard, Toronto, ON",559900.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"121-25 Collinsgrove Road, Toronto, ON",695000.0,3+1,3,1200-1399,4.0,3.0,1300.0,3,1
"168 Mckee Avenue, Toronto, ON",1948000.0,3,2,1500-2000,3.0,2.0,1750.0,3,0
"1510-130 Neptune Drive, Toronto, ON",556000.0,3,2,1200-1399,3.0,2.0,1300.0,3,0
"405-3900 Yonge Street, Toronto, ON",1399000.0,2,3,1800-1999,2.0,3.0,1900.0,2,0
"706-1 Reidmount Avenue, Toronto, ON",715000.0,4,2,1600-1799,4.0,2.0,1700.0,4,0
"1009-10 Navy Wharf Court, Toronto, ON",1078000.0,2+1,2,1200-1399,3.0,2.0,1300.0,2,1
"3407-101 Peter Street W, Toronto, ON",619000.0,1,1,0-499,1.0,1.0,250.0,1,0
"1 Hawthorn Avenue, Toronto, ON",5495000.0,5,4,3000-3500,5.0,4.0,3250.0,5,0
"165 Howland Avenue, Toronto, ON",1688000.0,5+1,4,1500-2000,6.0,4.0,1750.0,5,1
"109 Heath Street W, Toronto, ON",4098000.0,3+1,5,3500-5000,4.0,5.0,4250.0,3,1
"487 Lytton Boulevard, Toronto, ON",2499000.0,5,5,2500-3000,5.0,5.0,2750.0,5,0
"1080 Royal York Road, Toronto, ON",2999999.0,4+2,5,2500-3000,6.0,5.0,2750.0,4,2
"1207-375 King Street, Toronto, ON",849900.0,2,2,800-899,2.0,2.0,850.0,2,0
"608-65 Scadding Avenue, Toronto, ON",710000.0,3+1,2,1000-1199,4.0,2.0,1100.0,3,1
"22 Bryant Avenue, Toronto, ON",1459000.0,3+1,4,1500-2000,4.0,4.0,1750.0,3,1
"69 Stewart Smith Drive, Toronto, ON",1069000.0,3,3,1100-1500,3.0,3.0,1300.0,3,0
"79 Coyote Crescent, Toronto, ON",749000.0,2,2,1100-1500,2.0,2.0,1300.0,2,0
"17 Queensbury Avenue, Toronto, ON",1349000.0,2+1,2,1100-1500,3.0,2.0,1300.0,2,1
"212 Symington Avenue, Toronto, ON",1499000.0,3+2,3,1100-1500,5.0,3.0,1300.0,3,2
"103-161 Roehampton Avenue, Toronto, ON",1249000.0,2,3,1200-1399,2.0,3.0,1300.0,2,0
"2310-219 Fort York Boulevard, Toronto, ON",688000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"16 Camilla Crescent, Toronto, ON",1097000.0,2+1,2,1100-1500,3.0,2.0,1300.0,2,1
"10 Pergola Road, Toronto, ON",1097700.0,4,2,2000-2500,4.0,2.0,2250.0,4,0
"1305-21 Carlton Street, Toronto, ON",699900.0,2,2,800-899,2.0,2.0,850.0,2,0
"1007-8 Olympic Garden Drive, Toronto, ON",719000.0,2,2,600-699,2.0,2.0,650.0,2,0
"2207-29 Singer Court, Toronto, ON",509800.0,1+1,1,500-599,2.0,1.0,550.0,1,1
"5 Penetang Crescent, Toronto, ON",1098800.0,3+1,3,1100-1500,4.0,3.0,1300.0,3,1
"7 Ivanhoe Court, Toronto, ON",1239000.0,3+2,2,1100-1500,5.0,2.0,1300.0,3,2
"16 Plaxton Drive, Toronto, ON",1189000.0,3+1,2,1100-1500,4.0,2.0,1300.0,3,1
"16 Wedgeport Place, Toronto, ON",2448000.0,4+1,3,2500-3000,5.0,3.0,2750.0,4,1
"UNIT 507-736 Dundas Street E, Toronto, ON",649000.0,1,2,700-799,1.0,2.0,750.0,1,0
"255 Homewood Avenue, Toronto, ON",2988000.0,4+2,6,3500-5000,6.0,6.0,4250.0,4,2
"4001-2212 Lake Shore Boulevard W, Toronto, ON",795000.0,2,2,800-899,2.0,2.0,850.0,2,0
"2204-255 Village Green Square, Toronto, ON",538000.0,1+1,2,600-699,2.0,2.0,650.0,1,1
"205-6 Eva Road, Toronto, ON",528000.0,1+1,1,600-699,2.0,1.0,650.0,1,1
"12 Clyde Road, Toronto, ON",1199000.0,3+1,2,2000-2500,4.0,2.0,2250.0,3,1
"2116-70 Princess Street, Toronto, ON",899990.0,3,2,800-899,3.0,2.0,850.0,3,0
"18 Norris Place, Toronto, ON",1621000.0,4+1,4,3000-3500,5.0,4.0,3250.0,4,1
"150 Brickworks Lane, Toronto, ON",898888.0,3+1,3,1200-1399,4.0,3.0,1300.0,3,1
