address,price,beds,baths,sqft
"27 Fenelon Drive, Toronto, ON",1298000,3+2 ,2 ,1100-1500 
"7 Gerald Street, Toronto, ON",4799000,4+1 ,4 ,3500-5000 
"25 Solstice Drive, Toronto, ON",1150000,4 ,3 ,2000-2500 
"410 Euclid Avenue, Toronto, ON",,— ,— ,— 
"140 Mckee Avenue, Toronto, ON",2200000,5+1 ,4 ,2000-2500 
"1802-2220 Lakeshore Boulevard W, Toronto, ON",700000,2 ,2 ,700-799 
"240-252 Wilson Avenue, Toronto, ON",629000,1+1 ,2 ,800-899 
"4806-21 Iceboat Terrace, Toronto, ON",1299000,2+1 ,3 ,1400-1599 
"406-2720 Dundas Street W, Toronto, ON",579900,1 ,1 ,600-699 
"201-633 Bay Street, Toronto, ON",659000,2 ,2 ,900-999 
"33 Ashdale Avenue, Toronto, ON",899000,2 ,2 ,700-1100 
"5 Donora Drive, Toronto, ON",1260000,3+1 ,4 ,1500-2000 
"30 Notley Place, Toronto, ON",2285000,4+1 ,5 ,3000-3500 
"135 Hope Street, Toronto, ON",999800,3+2 ,3 ,1100-1500 
"43 Vanderbrent Crescent, Toronto, ON",1179000,4+1 ,3 ,1500-2000 
"321 Chartland Boulevard S, Toronto, ON",949000,4 ,4 ,1500-2000 
"258 Spadina Road, Toronto, ON",2650000,3+1 ,5 ,2500-3000 
"990 Dovercourt Road, Toronto, ON",799000,– ,– ,
"8 Furnival Road, Toronto, ON",1259000,3+1 ,3 ,1500-2000 
"2107-20 Meadowglen Place, Toronto, ON",479000,1+1 ,2 ,500-599 
"259 Strathmore Boulevard, Toronto, ON",1089000,3+1 ,2 ,1100-1500 
"512-14 York Street, Toronto, ON",540000,1 ,1 ,500-599 
"2323-230 Queens Quay W, Toronto, ON",949000,2 ,2 ,900-999 
"407-128 Fairview Mall Drive, Toronto, ON",539999,1+1 ,2 ,600-699 
"1217-111 Bathurst Street, Toronto, ON",659995,1+1 ,1 ,600-699 
"2004-71 Simcoe Street, Toronto, ON",925000,2+1 ,1 ,1000-1199 
"5408-8 The Esplanade N/a, Toronto, ON",998000,2 ,2 ,1000-1199 
"405-60 Tannery Road, Toronto, ON",689000,2+1 ,2 ,700-799 
"239 Pineway Blvd Boulevard, Toronto, ON",1395000,4 ,4 ,1500-2000 
"71 Nairn Avenue, Toronto, ON",999999,3 ,2 ,1100-1500 
"15 Charterhouse Road, Toronto, ON",1299000,4 ,3 ,1500-2000 
"1058 Woodbine Avenue, Toronto, ON",898900,3+1 ,3 ,1100-1500 
"308-319 Merton Street, Toronto, ON",899000,2+1 ,2 ,900-999 
"1113-89 Skymark Drive, Toronto, ON",1290000,3+1 ,3 ,2000-2249 
"603-75 Queens Wharf Road, Toronto, ON",566000,1+1 ,1 ,600-699 
"N1602-7 Golden Lion Heights, Toronto, ON",420000,1 ,1 ,500-599 
"49 Dunvegan Road, Toronto, ON",16800000,7+1 ,10 ,5000 + 
"20 Laws Street, Toronto, ON",1998000,6 ,3 ,2500-3000 
"44 Anglesey Boulevard, Toronto, ON",1895000,4+1 ,3 ,2000-2500 
"64 Bannockburn Avenue, Toronto, ON",4379000,3+2 ,6 ,3500-5000 
"6 Redland Crescent E, Toronto, ON",1499000,5 ,4 ,2500-3000 
"1207-2152 Lawrence Avenue E, Toronto, ON",496800,1+1 ,2 ,600-699 
"90 Goldsboro Road, Toronto, ON",998000,3 ,2 ,1100-1500 
"17 Embers Drive, Toronto, ON",2099000,4+1 ,5 ,3000-3500 
